variant,brand,notes,image url
Gris Charnel Eau de Parfum,BDK Parfums,"[{""id"": 133, ""nama"": ""fig""}, {""id"": 108, ""nama"": ""black tea""}, {""id"": 134, ""nama"": ""cardamom essence""}, {""id"": 135, ""nama"": ""absolute of iris""}, {""id"": 136, ""nama"": ""bourbon""}, {""id"": 18, ""nama"": ""vetiver""}, {""id"": 137, ""nama"": ""sandalwood from india""}, {""id"": 138, ""nama"": ""absolute of tonka bean""}]",https://static.luckyscent.com/images/products/856003.jpg?width=400&404=product.png
Milk Musk Eau de Toilette,Molton Brown,"[{""id"": 139, ""nama"": ""pear""}, {""id"": 140, ""nama"": ""peach""}, {""id"": 2, ""nama"": ""musk""}, {""id"": 62, ""nama"": ""ambroxan""}, {""id"": 30, ""nama"": ""vanilla""}, {""id"": 141, ""nama"": ""white cedarwood""}, {""id"": 142, ""nama"": ""tonka bean""}]",https://static.luckyscent.com/images/products/765130.jpg?width=400&404=product.png
Blackberry Woods Eau de Parfum,Shay & Blue,"[{""id"": 143, ""nama"": ""blackberry""}, {""id"": 39, ""nama"": ""neroli""}, {""id"": 144, ""nama"": ""lemon leaves""}, {""id"": 145, ""nama"": ""cypress""}]",https://static.luckyscent.com/images/products/70421.jpg?width=400&404=product.png
Lavande Romaine Eau de Parfum,Perris Monte Carlo,"[{""id"": 146, ""nama"": ""lavender fine""}, {""id"": 147, ""nama"": ""bleu cedar""}, {""id"": 148, ""nama"": ""cassis bourgeons""}, {""id"": 149, ""nama"": ""white musk""}]",https://static.luckyscent.com/images/products/702054.jpg?width=400&404=product.png
Celestial Eau de Parfum,Electimuss,"[{""id"": 67, ""nama"": ""saffron""}, {""id"": 120, ""nama"": ""raspberry""}, {""id"": 58, ""nama"": ""black pepper""}, {""id"": 56, ""nama"": ""olibanum""}, {""id"": 150, ""nama"": ""indian rose absolut""}, {""id"": 151, ""nama"": ""bulgarian rose""}, {""id"": 152, ""nama"": ""pepper""}, {""id"": 153, ""nama"": ""cedar""}, {""id"": 154, ""nama"": ""paraguan guaiac wood""}, {""id"": 37, ""nama"": ""tonka""}]",https://static.luckyscent.com/images/products/855010.jpg?width=400&404=product.png
Puritas Eau de Parfum,Electimuss,"[{""id"": 54, ""nama"": ""elemi""}, {""id"": 24, ""nama"": ""pink pepper""}, {""id"": 155, ""nama"": ""absinthe""}, {""id"": 56, ""nama"": ""olibanum""}, {""id"": 91, ""nama"": ""rose""}, {""id"": 156, ""nama"": ""indian tuberose absolut""}, {""id"": 7, ""nama"": ""geranium""}, {""id"": 115, ""nama"": ""labdanum""}, {""id"": 21, ""nama"": ""patchouli""}, {""id"": 157, ""nama"": ""tonka and amber""}]",https://static.luckyscent.com/images/products/855011.jpg?width=400&404=product.png
Thurible Eau de Parfum,Rook Perfumes,"[{""id"": 84, ""nama"": ""clove""}, {""id"": 66, ""nama"": ""ash""}, {""id"": 113, ""nama"": ""sage""}, {""id"": 58, ""nama"": ""black pepper""}, {""id"": 115, ""nama"": ""labdanum""}, {""id"": 78, ""nama"": ""incense""}, {""id"": 91, ""nama"": ""rose""}, {""id"": 21, ""nama"": ""patchouli""}, {""id"": 26, ""nama"": ""leather""}, {""id"": 158, ""nama"": ""ambergris and moss""}]",https://static.luckyscent.com/images/products/859004.jpg?width=400&404=product.png
Suede Eau de Parfum,Rook Perfumes,"[{""id"": 159, ""nama"": ""suede""}, {""id"": 160, ""nama"": ""tobacco leaf""}, {""id"": 26, ""nama"": ""leather""}]",https://static.luckyscent.com/images/products/859005.jpg?width=400&404=product.png
Amber Eau de Parfum,Rook Perfumes,"[{""id"": 67, ""nama"": ""saffron""}, {""id"": 77, ""nama"": ""smoke""}, {""id"": 78, ""nama"": ""incense""}, {""id"": 31, ""nama"": ""amber""}, {""id"": 161, ""nama"": ""maple""}, {""id"": 162, ""nama"": ""black musk""}, {""id"": 163, ""nama"": ""tonka bean and resins""}]",https://static.luckyscent.com/images/products/859006.jpg?width=400&404=product.png
Interlude Black Iris Eau de Parfum,Amouage,"[{""id"": 35, ""nama"": ""bergamot""}, {""id"": 164, ""nama"": ""rosemary""}, {""id"": 165, ""nama"": ""violet leaves""}, {""id"": 166, ""nama"": ""orris""}, {""id"": 31, ""nama"": ""amber""}, {""id"": 9, ""nama"": ""frankincense""}, {""id"": 167, ""nama"": ""cistus""}, {""id"": 10, ""nama"": ""myrrh""}, {""id"": 30, ""nama"": ""vanilla""}, {""id"": 26, ""nama"": ""leather""}, {""id"": 168, ""nama"": ""agarwood smoke""}, {""id"": 21, ""nama"": ""patchouli""}, {""id"": 32, ""nama"": ""sandalwood""}, {""id"": 153, ""nama"": ""cedar""}]",https://static.luckyscent.com/images/products/41899.jpg?width=400&404=product.png
